RANK,NAME,COINS_URL,PRICE,DIRECT_VOLUME,TOTAL_VOLUME,TIER_VOLUME,MARKET_CAP,RATING,PRICE_CHANGE,CHART
74,Serum-SRM,https://www.cryptocompare.com/coins/srm/overview/USD,$ 0.8931,$ 3.65 M,$ 19.87 M,$ 19.87 M,$ 233.10 M,C,,https://images.cryptocompare.com/sparkchart/SRM/USD/latest.png?ts=1655492400
75,STEPN-GMT,https://www.cryptocompare.com/coins/gmt/overview/USD,$ 0.6061,$ 2.77 M,$ 19.78 M,$ 19.78 M,$ 3.55 B,,,https://images.cryptocompare.com/sparkchart/GMT/USD/latest.png?ts=1655492400
76,0x-ZRX,https://www.cryptocompare.com/coins/zrx/overview/USD,$ 0.2635,$ 2.40 M,$ 19.34 M,$ 19.34 M,$ 263.50 M,C+,,https://images.cryptocompare.com/sparkchart/ZRX/USD/latest.png?ts=1655492400
77,Metal-MTL,https://www.cryptocompare.com/coins/mtl/overview/USD,$ 1.331,-,$ 19.11 M,$ 19.11 M,$ 88.66 M,C,,https://images.cryptocompare.com/sparkchart/MTL/USD/latest.png?ts=1655492400
78,Astar-ASTR,https://www.cryptocompare.com/coins/astr/overview/USD,$ 0.04651,"$ 9,317.37",$ 18.17 M,$ 18.17 M,-,,,https://images.cryptocompare.com/sparkchart/ASTR/USD/latest.png?ts=1655492400
79,Curve DAO Token-CRV,https://www.cryptocompare.com/coins/crv/overview/USD,$ 0.6526,$ 3.89 M,$ 17.86 M,$ 17.86 M,$ 1.15 B,B-,,https://images.cryptocompare.com/sparkchart/CRV/USD/latest.png?ts=1655492400
80,Theta Fuel-TFUEL,https://www.cryptocompare.com/coins/tfuel/overview/USD,$ 0.04594,-,$ 17.79 M,$ 17.79 M,$ 255.51 M,,,https://images.cryptocompare.com/sparkchart/TFUEL/USD/latest.png?ts=1655492400
81,STASIS EURS-EURS,https://www.cryptocompare.com/coins/eurs/overview/USD,$ 1.045,"$ 4,164.00",$ 17.18 M,$ 17.18 M,$ 129.68 M,,,https://images.cryptocompare.com/sparkchart/EURS/USD/latest.png?ts=1655492400
82,Oasis Labs-ROSE,https://www.cryptocompare.com/coins/rose/overview/USD,$ 0.04765,$ 878.89 k,$ 17.01 M,$ 16.93 M,$ 476.50 M,,,https://images.cryptocompare.com/sparkchart/ROSE/USD/latest.png?ts=1655492400
83,Sushi-SUSHI,https://www.cryptocompare.com/coins/sushi/overview/USD,$ 0.9765,$ 5.39 M,$ 16.82 M,$ 16.82 M,$ 237.03 M,C+,,https://images.cryptocompare.com/sparkchart/SUSHI/USD/latest.png?ts=1655492400
